# PROVENANCE — Kingfisher roster, pipe-delimited. One airframe per line.
# Columns: reg|type|msn|kf_from|kf_to|later_ids|state|place|note|id_conf|st_conf|src1|src2
#
# state:    active | stored | withdrawn | scrapped | written_off | preserved | unknown
# id_conf:  verified (2+ independent sources) | partial (1) | sketchy
# st_conf:  same scale, judged on CURRENT status evidence only
# kf_from/kf_to: Kingfisher operator era. Blank = not yet established. DO NOT GUESS.
# later_ids: post-Kingfisher registrations in order, separated by >
# Empty field = unknown. Empty is a valid, honest answer everywhere in this file.
#
# ALL rows carry status as_of 2026-08-25 (set by the converter, not per-row).
# Sources are from the citation-recovery pass and have NOT been individually
# re-opened by hand. Spot-check protocol is in antigravity-prompts-phase0b.md.

reg|type|msn|kf_from|kf_to|later_ids|state|place|note|id_conf|st_conf|src1|src2

# ── A330-200 fleet (5) ──────────────────────────────────────────────────────
VT-VJK|A330-223|874|2008-06|2012|LZ-AWZ > TC-LNA > 9H-HFK|active||operating with Hi Fly Malta|verified|verified|https://hifly.aero/fleet/a330/9h-hfk/|https://www.flightradar24.com/data/aircraft/9h-hfk/
VT-VJL|A330-223|891|2008|2012|5N-JIC|scrapped|Lourdes, France|via Arik Air; broken up 2022|verified|partial|https://simpleflying.com/kingfisher-airlines-widebody-fleet-story/|https://www.airfleets.net/ficheapp/plane-a330-891.htm
VT-VJN|A330-223|927|2008-08|2012-03||scrapped|Lourdes, France|Arik Air from Oct 2012; broken up 2021|verified|partial|https://simpleflying.com/kingfisher-airlines-widebody-fleet-story/|https://www.airliners.net/photo-albums/view/Kingfisher-Airlines/31304
VT-VJO|A330-223|939|2008|2011|9H-HFJ|active||operating with Hi Fly|verified|verified|https://hifly.aero/fleet/a330/9h-hfj/|https://www.flightradar24.com/data/aircraft/9h-hfj
VT-VJP|A330-223|946|2008-08|2012|VN-A383 > EI-GCU|stored|Teruel, Spain|withdrawn Feb 2022; moved Brussels to Teruel 9 May 2022|verified|verified|https://simpleflying.com/kingfisher-airlines-widebody-fleet-story/|

# ── VT-VJ exception: NOT an A330 ────────────────────────────────────────────
VT-VJM|A319-133CJ|2650||||unknown||offered in government auction after collapse|verified|sketchy|https://www.mstcindia.co.in/mstc_static_pages/wro/EA_WRO_16-17_3/EA_16-17_3_MSTC_FAQ.pdf|

# ── Mainline KF block: A319 / A320 / A321 (24) ──────────────────────────────
VT-KFA|A320-232|2413|2005-04|2012|VP-BHW|active||Yamal Airlines; returned to ILFC and stored Dublin early 2012|verified|partial|https://www.jetphotos.com/info/A32X-2413|https://www.pictaero.com/en/search/search?a4=VT-KFA
VT-KFB|A320-232|2443|2005|2012|OE-ICG > XA-VAF > VT-IHS|scrapped|Teruel, Spain|broken up Aug 2021 after three post-Kingfisher operators|verified|verified|https://www.airfleets.fr/ficheapp/plane-a320-2443.htm|https://xfw-spotter.blogspot.com/2005/05/a320-232-kingfisher-airlines-f-wwbr-vt.html
VT-KFC|A320-232|2496|2005-07|2012|EI-EWO > AP-BMC > YR-DSI > RP-C7938 > ZS-GAC|active||Smartwings / Global Aviation; 21st year in service|verified|verified|https://www.jetphotos.com/info/A32X-2496|https://xfw-spotter.blogspot.com/2005/07/a320-232-kingfisher-airlines-f-wwif-vt.html
VT-KFD|A320-232|2502||2012|OE-IBH|unknown||chain after OE-IBH not established|verified|sketchy|https://www.jetphotos.com/registration/VT-KFD|https://www.flickr.com/photos/mcdee6174/6961715397
VT-KFE|A320-232|2522||2012|TC-JUJ > OE-LOT > 9H-LOT|unknown||Lauda Europe chain reported but not independently corroborated|verified|sketchy||
VT-KFF|A320-232|2531|2005|2012|HS-PPD > LY-WSM|active||Heston Airlines|verified|verified|https://www.jetphotos.com/info/A32X-2531|https://commons.wikimedia.org/wiki/Category:VT-KFF_(aircraft)
VT-KFG|A320-232|2576||2012|EI-EWE > RP-C8997 > XA-VAZ|written_off|Puerto Vallarta, Mexico|nose-gear collapse 18 Mar 2021|verified|verified|https://www.airfleets.es/ficheapp/plane-a320-2576.htm|https://xfw-spotter.blogspot.com/2005/10/
VT-KFH|A319-131|2621||2012|EI-EYA > YU-APC|active||Air Serbia; photographed Tivat 12 Jul 2026|verified|verified|https://www.jetphotos.com/info/A32X-2621|https://www.airhistory.net/operators/427/Air-Serbia-GetJet-Airlines
VT-KFI|A319-132|2634|2005|2012|EI-EXZ > HS-PPF|active||Bangkok Airways; photographed Koh Samui 19 Aug 2025, flights recorded 2026|verified|verified|https://www.jetphotos.com/info/A32X-2634|https://www.airfleets.es/ficheapp/plane-a319-2634.htm
VT-KFJ|A319|2664||2012|M-BOCA > HS-PPG|active||Bangkok Airways; photographed Bangkok 4 Feb 2026|verified|partial||
VT-KFK|A320-232|2670||2012|VN-A557 > VT-IHQ|scrapped|Knock, Ireland|scrapped Apr 2021|verified|partial||
